SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-16-2018,Single Family Residential,3307 171st Pl SE,Bothell,WA,98012,761000,4,3.5,Bothell,2521,4356,2010,,302,28,Sold,,,https://www.redfin.com/WA/Bothell/3307-171st-Pl-SE-98012/home/25670678,NWMLS,1305213,N,Y,47.8425905,-122.1880151
PAST SALE,July-16-2018,Single Family Residential,1307 192nd Pl SE #2,Bothell,WA,98012,662180,4,2.5,Bothell,2653,3156,2018,,250,125,Sold,,,https://www.redfin.com/WA/Bothell/1307-192nd-Pl-SE-98012/unit-2/home/167337207,NWMLS,1314209,N,Y,47.8234721,-122.1994184
PAST SALE,July-16-2018,Single Family Residential,23607 43rd Dr SE #248,Bothell,WA,98021,829950,4,3.0,Bothell,2494,3600,2018,,333,71,Sold,,,https://www.redfin.com/WA/Bothell/23607-43rd-Dr-SE-98021/unit-248/home/175921113,NWMLS,1230900,N,Y,47.7834797,-122.174412
PAST SALE,July-16-2018,Single Family Residential,304 SW 198th Pl SW,Bothell,WA,98012,675000,4,2.5,Bothell,2832,4792,2006,,238,9,Sold,,,https://www.redfin.com/WA/Bothell/304-198th-Pl-SW-98012/home/11883832,NWMLS,1297020,N,Y,47.8175064,-122.2374736
PAST SALE,July-17-2018,Single Family Residential,23534 14th Dr SE,Bothell,WA,98021,904000,4,3.0,Bothell,3132,7841,2000,,289,,Sold,,,https://www.redfin.com/WA/Bothell/23534-14th-Dr-SE-98021/home/2882556,NWMLS,1289149,N,Y,47.7841844,-122.214554
PAST SALE,July-17-2018,Single Family Residential,17523 39th Dr SE,Bothell,WA,98012,752000,4,2.5,Bothell,2370,3049,2016,,317,,Sold,,,https://www.redfin.com/WA/Bothell/17523-39th-Dr-SE-98012/home/112744929,NWMLS,1311112,N,Y,47.8384691,-122.1782665
PAST SALE,July-17-2018,Single Family Residential,18726 45th Park SE,Bothell,WA,98012,738065,4,2.5,North Creek,2214,3485,2017,,333,85,Sold,,,https://www.redfin.com/WA/Bothell/18726-45th-Park-SE-98012/home/161121616,NWMLS,1169057,N,Y,47.827303,-122.171949
PAST SALE,July-18-2018,Single Family Residential,18702 45th Dr SE,Bothell,WA,98012,842909,4,2.5,North Creek,2779,4091,2017,,303,85,Sold,,,https://www.redfin.com/WA/Bothell/18702-45th-Dr-SE-98012/home/142977498,NWMLS,1166337,N,Y,47.8278827,-122.1714443
PAST SALE,July-18-2018,Single Family Residential,23529 22nd Ave SE,Bothell,WA,98021,650000,3,2.5,Canyon Park,1674,11326,1985,,388,,Sold,,,https://www.redfin.com/WA/Bothell/23529-22nd-Ave-SE-98021/home/2804304,NWMLS,1308396,N,Y,47.7847854,-122.2025742
PAST SALE,July-18-2018,Single Family Residential,19323 22nd Ave SE,Bothell,WA,98012,645000,5,3.0,Bothell,3753,19166,2011,,172,,Sold,,,https://www.redfin.com/WA/Bothell/19323-22nd-Ave-SE-98012/home/2731063,NWMLS,1307778,N,Y,47.8221231,-122.202343
PAST SALE,July-18-2018,Single Family Residential,12100 NE 161st St,Bothell,WA,98011,655000,3,3.0,Totem Lake,2323,10044,1978,,282,,Sold,,,https://www.redfin.com/WA/Bothell/12100-NE-161st-St-98011/home/454949,NWMLS,1316329,N,Y,47.744705,-122.179074
PAST SALE,July-18-2018,Single Family Residential,16225 41st Dr SE,Bothell,WA,98012,650000,4,2.5,Bothell,2179,3049,2011,,298,50,Sold,,,https://www.redfin.com/WA/Bothell/16225-41st-Dr-SE-98012/home/40252156,NWMLS,1293387,N,Y,47.8500777,-122.1765886
PAST SALE,July-18-2018,Single Family Residential,22612 42nd Dr SE Unit PVR18,Bothell,WA,98021,856000,5,2.5,Bothell,3126,5898,2018,,274,56,Sold,,,https://www.redfin.com/WA/Bothell/22612-42nd-Dr-SE-98021/unit-PVR18/home/177187926,NWMLS,1236142,N,Y,47.7923594,-122.1770253
PAST SALE,July-18-2018,Single Family Residential,18021 26th Dr SE,Bothell,WA,98012,675000,4,2.5,Bothell,2067,11326,1987,,327,11,Sold,,,https://www.redfin.com/WA/Bothell/18021-26th-Dr-SE-98012/home/2808765,NWMLS,1295255,N,Y,47.8340165,-122.1968731
