ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
3680 248th Pl SE,https://www.redfin.com/WA/Issaquah/3680-248th-Pl-SE-98029/home/439565,June-30-2021,June-2021,98029,1989,539,572
4271 257th Pl SE,https://www.redfin.com/WA/Issaquah/4271-257th-Pl-SE-98029/home/439868,June-30-2021,June-2021,98029,1992,573,603
1199 Westridge (Lot 10) Way NE,https://www.redfin.com/WA/Issaquah/1199-Westridge-Way-NE-98027/home/174075372,June-30-2021,June-2021,98029,2021,478,479
1545 Hillside Dr SE,https://www.redfin.com/WA/Issaquah/1545-Hillside-Dr-SE-98027/home/421931,June-30-2021,June-2021,98027,1978,510,554
15204 256th Ave SE,https://www.redfin.com/WA/Issaquah/15204-256th-Ave-SE-98027/home/425429,June-30-2021,June-2021,98027,1987,461,496
26019 SE 38th Ct,https://www.redfin.com/WA/Issaquah/26019-SE-38th-Ct-98029/home/440277,June-30-2021,June-2021,98029,1989,405,438
3447 NE Monterey Ln,https://www.redfin.com/WA/Issaquah/3447-NE-Monterey-Ln-98029/home/2115535,June-30-2021,June-2021,98029,2006,541,557
1240 Oakcreek Pl NW,https://www.redfin.com/WA/Issaquah/1240-Oakcreek-Pl-NW-98027/home/421168,July-1-2021,July-2021,98027,1986,610,646
3948 258th Way SE,https://www.redfin.com/WA/Issaquah/3948-258th-Way-SE-98029/home/437670,July-2-2021,July-2021,98029,1991,557,588
15105 262nd Ave SE,https://www.redfin.com/WA/Issaquah/15105-262nd-Ave-SE-98027/home/425421,July-2-2021,July-2021,98027,1987,361,396
14726 262nd Ave SE,https://www.redfin.com/WA/Issaquah/14726-262nd-Ave-SE-98027/home/424912,July-2-2021,July-2021,98027,2001,387,408
13337 202nd Ave SE,https://www.redfin.com/WA/Issaquah/13337-202nd-Ave-SE-98027/home/422370,July-2-2021,July-2021,98027,1983,542,581
1344 Pine Crest Cir NE,https://www.redfin.com/WA/Issaquah/1344-Pine-Crest-Cir-NE-98029/home/55551350,July-2-2021,July-2021,98029,2017,514,519
13425 207th Ct SE,https://www.redfin.com/WA/Issaquah/13425-207th-Ct-SE-98027/home/422393,July-2-2021,July-2021,98027,1989,511,544
22242 SE 39th Pl,https://www.redfin.com/WA/Sammamish/22242-SE-39th-Pl-98075/home/145708752,July-2-2021,July-2021,98075,2021,346,347
24512 SE 37th St,https://www.redfin.com/WA/Issaquah/24512-SE-37th-St-98029/home/440041,July-2-2021,July-2021,98029,1988,622,656
480 Kalmia Pl NW,https://www.redfin.com/WA/Issaquah/480-Kalmia-Pl-NW-98027/home/421754,July-2-2021,July-2021,98027,1979,601,644
3433 NE Monterey Ln,https://www.redfin.com/WA/Issaquah/3433-NE-Monterey-Ln-98029/home/2115537,July-6-2021,July-2021,98029,2006,550,566
2372 NW Harmony Way,https://www.redfin.com/WA/Issaquah/2372-NW-Harmony-Way-98027/home/22717939,July-6-2021,July-2021,98027,2011,557,568
4229 257th Pl SE,https://www.redfin.com/WA/Issaquah/4229-257th-Pl-SE-98029/home/439864,July-7-2021,July-2021,98029,1994,633,661
535 NW Datewood Dr,https://www.redfin.com/WA/Issaquah/535-NW-Datewood-Dr-98027/home/421050,July-7-2021,July-2021,98027,1994,594,622
4049 251st Pl SE,https://www.redfin.com/WA/Issaquah/4049-251st-Pl-SE-98029/home/437950,July-7-2021,July-2021,98029,1996,611,637
24224 SE 147th Pl,https://www.redfin.com/WA/Issaquah/24224-SE-147th-Pl-98027/home/2087440,July-7-2021,July-2021,98027,2005,455,472
23918 SE 42nd Ct,https://www.redfin.com/WA/Issaquah/23918-SE-42nd-Ct-98029/home/439323,July-7-2021,July-2021,98029,1986,529,565
5918 Mont Blanc Pl NW,https://www.redfin.com/WA/Issaquah/5918-Mont-Blanc-Pl-NW-98027/home/419008,July-7-2021,July-2021,98027,1999,584,607
2534 NW Stoney Creek Dr,https://www.redfin.com/WA/Issaquah/2534-NW-Stoney-Creek-Dr-98027/home/22717946,July-8-2021,July-2021,98027,2010,453,465
12225 Issaquah Hobart Rd SE,https://www.redfin.com/WA/Issaquah/12225-Issaquah-Hobart-Rd-SE-98027/home/422481,July-8-2021,July-2021,98027,1980,439,481
3870 223rd Ave SE,https://www.redfin.com/WA/Sammamish/3870-223rd-Ave-SE-98075/home/145708735,July-9-2021,July-2021,98075,2018,481,485
24646 SE 44th Ct,https://www.redfin.com/WA/Issaquah/24646-SE-44th-Ct-98029/home/440116,July-9-2021,July-2021,98029,1988,637,671
1718 NE Katsura St,https://www.redfin.com/WA/Issaquah/1718-NE-Katsura-St-98029/home/467037,July-9-2021,July-2021,98029,2000,596,618
2385 NW Oakcrest Dr,https://www.redfin.com/WA/Issaquah/2385-NW-Oakcrest-Dr-98027/home/421134,July-9-2021,July-2021,98027,1985,628,665
26032 SE 156 St,https://www.redfin.com/WA/Issaquah/26032-SE-156th-St-98027/home/425333,July-9-2021,July-2021,98027,1976,547,593
