ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
12127 SE 15th St,https://www.redfin.com/WA/Bellevue/12127-SE-15th-St-98005/home/508233,July-3-2017,July-2017,98005,1967,442,497
7398 169th Pl SE,https://www.redfin.com/WA/Bellevue/7398-169th-Pl-SE-98006/home/22222109,July-5-2017,July-2017,98006,2016,423,429
1241 112th Ave NE,https://www.redfin.com/WA/Bellevue/1241-112th-Ave-NE-98004/home/505902,July-5-2017,July-2017,98004,2001,509,530
6036 118th Ave SE,https://www.redfin.com/WA/Bellevue/6036-118th-Ave-SE-98006/home/415322,July-5-2017,July-2017,98006,1989,452,485
2741 142nd Pl NE,https://www.redfin.com/WA/Bellevue/2741-142nd-Pl-NE-98007/home/430756,July-6-2017,July-2017,98007,1987,496,531
17014 NE 28th Pl,https://www.redfin.com/WA/Bellevue/17014-NE-28th-Pl-98008/home/432666,July-6-2017,July-2017,98008,1976,408,454
16848 SE 35th St,https://www.redfin.com/WA/Bellevue/16848-SE-35th-St-98008/home/109969303,July-6-2017,July-2017,98008,2017,432,437
4338 157th Ave SE,https://www.redfin.com/WA/Bellevue/4338-157th-Ave-SE-98006/home/236451,July-6-2017,July-2017,98006,1974,434,482
1225 165th Ave SE,https://www.redfin.com/WA/Bellevue/1225-165th-Ave-SE-98008/home/428679,July-6-2017,July-2017,98008,1958,509,573
1120 174th Ave NE,https://www.redfin.com/WA/Bellevue/1120-174th-Ave-NE-98008/home/505370,July-6-2017,July-2017,98008,1966,458,514
1424 SE 105th Ave,https://www.redfin.com/WA/Bellevue/1424-105th-Ave-SE-98004/home/510575,July-7-2017,July-2017,98004,1952,769,839
16927 SE 58th St,https://www.redfin.com/WA/Bellevue/16927-SE-58th-St-98006/home/418187,July-7-2017,July-2017,98006,1997,477,502
14067 SE 63rd St,https://www.redfin.com/WA/Bellevue/14067-SE-63rd-St-98006/home/238070,July-7-2017,July-2017,98006,1988,476,510
5810 Lake Washington Blvd SE,https://www.redfin.com/WA/Bellevue/5810-Lake-Washington-Blvd-SE-98006/home/416721,July-7-2017,July-2017,98006,1974,302,350
939 177th Ave NE,https://www.redfin.com/WA/Bellevue/939-177th-Ave-NE-98008/home/502222,July-7-2017,July-2017,98008,1962,437,497
15820 SE 4th St,https://www.redfin.com/WA/Bellevue/15820-SE-4th-St-98008/home/427463,July-7-2017,July-2017,98008,1961,321,382
11020 NE 18th Pl,https://www.redfin.com/WA/Bellevue/11020-NE-18th-Pl-98004/home/506196,July-7-2017,July-2017,98004,1955,798,865
17219 NE 20th Pl,https://www.redfin.com/WA/Redmond/17219-NE-20th-Pl-98052/home/503640,July-7-2017,July-2017,98052,1976,447,493
810 170th Pl NE,https://www.redfin.com/WA/Bellevue/810-170th-Pl-NE-98008/home/499598,July-7-2017,July-2017,98008,1962,264,324
6560 163rd Pl SE,https://www.redfin.com/WA/Bellevue/6560-163rd-Pl-SE-98006/home/418597,July-7-2017,July-2017,98006,1990,370,402
2512 102nd Ave NE,https://www.redfin.com/WA/Bellevue/2512-102nd-Ave-NE-98004/home/505780,July-10-2017,July-2017,98004,1963,651,710
15798 SE 58th Pl,https://www.redfin.com/WA/Bellevue/15798-SE-58th-Pl-98006/home/240119,July-10-2017,July-2017,98006,1997,356,381
16906 NE 14th St,https://www.redfin.com/WA/Bellevue/16906-NE-14th-St-98008/home/499999,July-10-2017,July-2017,98008,1966,520,576
12205 SE 65th St,https://www.redfin.com/WA/Bellevue/12205-SE-65th-St-98006/home/417030,July-11-2017,July-2017,98006,1966,247,303
2211 172nd Ave NE,https://www.redfin.com/WA/Bellevue/2211-172nd-Ave-NE-98008/home/431505,July-11-2017,July-2017,98008,1965,398,455
